timestamp,equity,cash,market_value,pnl,pnl_pct,rolling_high,drawdown
2026-07-09T07:50:11.035634+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:00:31.983789+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:15:44.334503+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:16:15.297166+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:28:59.160097+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:29:27.674536+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:44:32.204966+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T08:59:57.164906+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T09:22:19.376704+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T09:27:44.012245+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T09:42:11.093534+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T09:49:11.384218+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T10:14:01.718921+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T10:28:48.398107+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T10:41:20.653539+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T11:00:23.302365+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T11:14:41.537879+00:00,100000.0,58481.0,41519.0,0.0,0.0,100000.0,0.0
2026-07-09T11:45:10.477330+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T11:52:20.159661+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T12:09:11.878784+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T12:27:39.106706+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T12:32:33.414443+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T12:50:06.009249+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T13:02:21.646802+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T13:22:21.178272+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T13:56:02.768133+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T14:14:26.325274+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
2026-07-09T14:14:44.741551+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0
